image_name,brisque,niqe,piqe,maniqa,hyperiqa
1000.JPG,26.78289794921875,4.003658135488656,28.901655197143555,0.22437047958374023,0.3901916742324829
1001.JPG,32.26251220703125,4.669014699279218,45.462093353271484,0.22810903191566467,0.3705604374408722
1002.JPG,29.10809326171875,4.278860742624605,45.329444885253906,0.24696999788284302,0.38728103041648865
1003.JPG,20.53912353515625,3.9152754388828477,11.251349449157715,0.2359740436077118,0.31072402000427246
1004.JPG,12.39154052734375,2.8766185186907864,37.6773796081543,0.31279367208480835,0.3505510687828064
1005.JPG,9.14996337890625,2.444583636555637,27.43120765686035,0.4139561951160431,0.4879811108112335
1006.JPG,28.17132568359375,4.441909111100058,65.64804077148438,0.450674831867218,0.5389677882194519
1007.JPG,37.16693115234375,5.899226587618974,58.95634460449219,0.40226808190345764,0.5910323262214661
1008.JPG,22.40008544921875,4.616235162957438,41.64597702026367,0.32883819937705994,0.470547080039978
1009.JPG,4.95684814453125,2.9626861952006074,41.99470520019531,0.453795462846756,0.6217223405838013
1010.JPG,20.19256591796875,3.623853077395662,24.989994049072266,0.2946836054325104,0.3474268317222595
1011.JPG,26.90203857421875,5.103613613920559,17.659011840820312,0.2736772894859314,0.3276990056037903
1012.JPG,9.49578857421875,2.1764816622359757,28.75889778137207,0.37256041169166565,0.48470839858055115
1013.JPG,48.70208740234375,5.638760970578719,67.22947692871094,0.2624092996120453,0.28353962302207947
1014.JPG,25.28741455078125,3.0488399682694207,26.036680221557617,0.45527517795562744,0.495136022567749
1015.JPG,21.15252685546875,3.4140835119041513,42.510250091552734,0.43362465500831604,0.49841049313545227
1016.JPG,14.18402099609375,2.1604940769802377,32.63751983642578,0.3667249083518982,0.4563682973384857
1017.JPG,24.72283935546875,2.8736023240696866,41.474491119384766,0.23713229596614838,0.37056881189346313
1018.JPG,8.26092529296875,2.8878280890397763,35.23904800415039,0.2436794638633728,0.41935309767723083
1019.JPG,45.00091552734375,7.9564933396828,52.334259033203125,0.4200858473777771,0.5484163761138916
1020.JPG,17.52191162109375,3.7325010892224353,43.70686340332031,0.29886919260025024,0.3785026967525482
1021.JPG,12.58685302734375,2.9704222757368197,24.372861862182617,0.46411335468292236,0.5795640349388123
1022.JPG,9.13104248046875,3.483415365656478,39.96806335449219,0.4546145498752594,0.495450884103775
