image_name,ground_truth,predicted,method,confidence,time_ms,error
9823089054.jpg,2.25714285714286,2.2916739058596196,maniqa,0.9136999249458313,3896.042823791504,0.03453104871675983
9138793182.jpg,1.71153846153846,1.803006574938665,hyperiqa,0.6800518035888672,706.1522006988525,0.09146811340020511
4595899816.jpg,3.7047619047619,3.727031127765123,maniqa,0.5737770795822144,549.1230487823486,0.022269223003223093
86543550.jpg,3.55660377358491,3.581649274368747,maniqa,0.5791189074516296,549.4539737701416,0.02504550078383705
1026198859.jpg,3.58653846153846,3.5969132046548964,maniqa,0.6000635027885437,551.9378185272217,0.010374743116436491
3937913166.jpg,3.55454545454545,3.603856824129456,hyperiqa,0.8061702251434326,38.25712203979492,0.04931136958400639
4605842170.jpg,3.47663551401869,3.4664116154280924,hyperiqa,0.6229785680770874,41.577816009521484,0.010223898590597802
5763573511.jpg,2.64220183486239,2.4558682684489677,hyperiqa,0.4288391172885895,36.83733940124512,0.18633356641342225
8195268203.jpg,2.04807692307692,1.9709874407312926,maniqa,0.5026018023490906,553.4491539001465,0.07708948234562718
7391334516.jpg,3.5188679245283,3.548657568578457,hyperiqa,0.5965014696121216,38.42663764953613,0.02978964405015727
4338156096.jpg,3.36697247706422,3.5959316024347387,hyperiqa,0.4308830499649048,44.52228546142578,0.22895912537051855
8488319324.jpg,3.91818181818182,3.9036150240658487,hyperiqa,0.8708341717720032,39.68238830566406,0.014566794115971504
6976429442.jpg,2.40196078431373,2.5512144372267667,maniqa,0.538048505783081,555.3345680236816,0.14925365291303683
4561013937.jpg,3.0,3.111400587426879,brisque,0.5019491910934448,356.13489151000977,0.11140058742687886
8395743743.jpg,3.69444444444444,3.740488139336854,maniqa,0.4974566698074341,551.2912273406982,0.04604369489241389
2655416178.jpg,3.27450980392157,3.3347043310097106,piqe,0.7683371305465698,57.088375091552734,0.06019452708814077
8201796429.jpg,3.72641509433962,3.817118745749175,hyperiqa,0.6282352805137634,43.753623962402344,0.09070365140955516
976846781.jpg,1.49514563106796,2.1471083563787348,hyperiqa,0.9049547910690308,42.18697547912598,0.6519627253107747
7334526272.jpg,3.5607476635514,3.456689176708685,hyperiqa,0.6394078731536865,41.046857833862305,0.10405848684271524
206294085.jpg,1.99056603773585,2.110940582885317,hyperiqa,0.7196242213249207,41.577816009521484,0.1203745451494671
7110105161.jpg,2.75471698113208,2.8128647994993585,maniqa,0.5916656851768494,552.6230335235596,0.05814781836727834
8302682948.jpg,3.61607142857143,3.608499708663146,hyperiqa,0.5530610084533691,39.12663459777832,0.007571719908284091
8250498441.jpg,3.20491803278689,3.201458482311881,piqe,0.7344784140586853,23.952722549438477,0.00345955047500901
20522527.jpg,3.42307692307692,3.4257492477548963,hyperiqa,0.6121248602867126,40.780067443847656,0.002672324677976512
3973813247.jpg,2.52727272727273,2.623830146865264,hyperiqa,0.8376469016075134,38.13362121582031,0.09655741959253383
2678740354.jpg,3.10377358490566,3.1173814294012234,piqe,0.49349334836006165,24.927616119384766,0.013607844495563626
8233745351.jpg,3.5530303030303,3.678399215306945,hyperiqa,0.6947238445281982,41.139841079711914,0.12536891227664482
6791461596.jpg,3.19266055045872,3.0735010475303612,maniqa,0.357567697763443,548.0320453643799,0.11915950292835875
2372696116.jpg,3.23300970873786,3.236454955393733,niqe,0.6224967241287231,453.4487724304199,0.003445246655873202
11051374673.jpg,3.27,3.2897069245556896,brisque,0.43596598505973816,50.3690242767334,0.019706924555689564
4320399633.jpg,3.17592592592593,3.1242031565171344,niqe,0.6258804202079773,58.824777603149414,0.05172276940879561
6326442580.jpg,3.26923076923077,3.303821106221318,hyperiqa,0.650726854801178,40.88258743286133,0.03459033699054803
4196095816.jpg,3.23853211009174,3.2431523154549593,piqe,0.43102115392684937,24.66440200805664,0.004620205363219387
6135085548.jpg,2.33333333333333,2.35776670177879,maniqa,0.6084420680999756,553.4358024597168,0.02443336844546007
