image_name,brisque,niqe,piqe,maniqa,hyperiqa,MOS,mean_luminance,std_luminance,entropy_luminance,colorfulness,mean_saturation,laplacian_variance,tenengrad,canny_edge_ratio,noise_std_estimate,rms_contrast,percentile_contrast,image_path,best_method,best_method_label,best_method_error
10004473376.jpg,9.55267333984375,2.5061980764233653,40.23618316650391,0.6109167337417603,0.7395336627960205,3.82857142857143,0.39183366,0.28597677,7.8100433,0.20516741,0.35288367,5882.531,123.95352,0.25795493,0.033003487,0.28597677,0.7921569,10004473376.jpg,maniqa,3,0.04679279686563742
10007357496.jpg,21.36749267578125,3.380886824109336,33.1915168762207,0.4945400059223175,0.7154002785682678,3.47916666666667,0.6400996,0.18921149,7.4519567,0.087098,0.1769193,1700.0444,89.58325,0.23969014,0.028776137,0.18921149,0.49803922,10007357496.jpg,maniqa,3,0.1312257297752759
10007903636.jpg,-2.64788818359375,3.1272047575252246,34.074222564697266,0.6147453188896179,0.7719706296920776,3.78125,0.5151078,0.20569107,7.3645377,0.25679377,0.3760713,3313.5132,85.20313,0.13200378,0.0047389874,0.20569107,0.54901963,10007903636.jpg,maniqa,3,0.01480111200377987
10009096245.jpg,22.46844482421875,2.867711575059912,24.217449188232425,0.5482662320137024,0.7082922458648682,3.92660550458716,0.147618,0.13104455,6.453077,0.092468835,0.50562984,549.19415,38.687473,0.054651897,0.0051431498,0.13104455,0.21568629,10009096245.jpg,hyperiqa,4,0.32856214998243827
100117038.jpg,21.10760498046875,4.532190832677189,26.9559326171875,0.5921305418014526,0.7147824168205261,3.83,0.7390714,0.15713334,7.131687,0.18263644,0.27841413,3783.3127,73.42269,0.12952678,0.007227372,0.15713334,0.36470586,100117038.jpg,maniqa,3,0.11825391138451291
10012398043.jpg,12.03558349609375,2.3996527180106053,25.6450138092041,0.543788492679596,0.6197863817214966,3.33980582524272,0.7787626,0.162717,7.0930033,0.2267367,0.22740345,352.30524,51.0658,0.15240479,0.009934936,0.162717,0.41960782,10012398043.jpg,niqe,1,0.007236132141753782
10013822223.jpg,56.65399169921875,7.341477751901444,36.75877380371094,0.565582275390625,0.6936333775520325,3.58181818181818,0.79121655,0.16123906,6.657863,0.10468364,0.1811089,234.78487,13.944795,0.012944539,0.001541877,0.16123906,0.2588235,10013822223.jpg,maniqa,3,0.03095933364012593
10014002683.jpg,40.72906494140625,5.890430730616522,45.62811279296875,0.4833118021488189,0.6928343772888184,3.4811320754717,0.8044217,0.15888454,7.028847,0.18162042,0.1983318,48.43092,22.275503,0.035146076,0.0023384427,0.15888454,0.39999998,10014002683.jpg,hyperiqa,4,0.05942604687067243
10017119924.jpg,14.40277099609375,2.593465633492557,39.22712707519531,0.5737082362174988,0.7099972367286682,3.42342342342342,0.7219655,0.20723386,7.4356027,0.1867092,0.23417547,2846.188,105.52628,0.2718455,0.03279944,0.20723386,0.56078434,10017119924.jpg,niqe,1,0.1065103980987816
10020766793.jpg,9.07318115234375,2.3464465043116856,29.454126358032227,0.6531348824501038,0.753913402557373,4.08256880733945,0.28880265,0.2331837,7.3245325,0.12898575,0.33793998,2889.6484,89.947784,0.20358276,0.021230508,0.2331837,0.5882353,10020766793.jpg,maniqa,3,0.14340626685615554
10020891105.jpg,5.08465576171875,2.7970477098845783,14.487208366394045,0.4053225517272949,0.5437920093536377,3.13725490196078,0.24450432,0.15661216,6.958045,0.3605699,0.6831574,860.87177,59.47327,0.12239075,0.011053079,0.15661216,0.38039216,10020891105.jpg,piqe,2,0.08137456295597856
10022757465.jpg,34.33538818359375,3.4459602204383994,28.96498107910156,0.5243539810180664,0.6712632775306702,3.67619047619048,0.7767885,0.34075892,4.6826777,0.13010097,0.17485411,923.8136,45.296238,0.07979838,0.0003740806,0.34075892,0.84705883,10022757465.jpg,hyperiqa,4,0.21585167216167633
10022844623.jpg,9.61419677734375,2.63946682733008,30.307239532470703,0.4810909032821655,0.6503726840019226,3.2843137254902,0.5178482,0.34674582,7.6274896,0.11777984,0.32009053,2950.6345,76.34828,0.14428203,0.010658276,0.34674582,0.85490197,10022844623.jpg,maniqa,3,0.01349066094088025
10027545463.jpg,27.41302490234375,2.937075219616576,38.95815658569336,0.5429847836494446,0.7090731859207153,3.74509803921569,0.3256289,0.19077538,6.7932773,0.3499026,0.6409934,881.16315,61.971252,0.100743614,0.006893268,0.19077538,0.5176471,10027545463.jpg,hyperiqa,4,0.1441504989354021
