image_name,brisque,niqe,piqe,maniqa,hyperiqa,MOS,brightness,contrast,colorfulness,sharpness,saturation,texture_noise,image_path,best_method,best_method_label,best_method_error
10004473376.jpg,9.55267333984375,2.5061980764233653,40.23618316650391,0.6109167337417603,0.7395336627960205,3.82857142857143,0.39183366,0.28597677,0.20516741,5882.531,0.35288367,0.033003487,10004473376.jpg,maniqa,3,0.04679279686563742
10007357496.jpg,21.36749267578125,3.380886824109336,33.1915168762207,0.4945400059223175,0.7154002785682678,3.47916666666667,0.6400996,0.18921149,0.087098,1700.0444,0.1769193,0.028776137,10007357496.jpg,maniqa,3,0.1312257297752759
10007903636.jpg,-2.64788818359375,3.1272047575252246,34.074222564697266,0.6147453188896179,0.7719706296920776,3.78125,0.5151078,0.20569107,0.25679377,3313.5132,0.3760713,0.0047389874,10007903636.jpg,maniqa,3,0.01480111200377987
10009096245.jpg,22.46844482421875,2.867711575059912,24.217449188232425,0.5482662320137024,0.7082922458648682,3.92660550458716,0.147618,0.13104455,0.092468835,549.19415,0.50562984,0.0051431498,10009096245.jpg,hyperiqa,4,0.32856214998243827
100117038.jpg,21.10760498046875,4.532190832677189,26.9559326171875,0.5921305418014526,0.7147824168205261,3.83,0.7390714,0.15713334,0.18263644,3783.3127,0.27841413,0.007227372,100117038.jpg,maniqa,3,0.11825391138451291
10012398043.jpg,12.03558349609375,2.3996527180106053,25.6450138092041,0.543788492679596,0.6197863817214966,3.33980582524272,0.7787626,0.162717,0.2267367,352.30524,0.22740345,0.009934936,10012398043.jpg,niqe,1,0.007236132141753782
10013822223.jpg,56.65399169921875,7.341477751901444,36.75877380371094,0.565582275390625,0.6936333775520325,3.58181818181818,0.79121655,0.16123906,0.10468364,234.78487,0.1811089,0.001541877,10013822223.jpg,maniqa,3,0.03095933364012593
10014002683.jpg,40.72906494140625,5.890430730616522,45.62811279296875,0.4833118021488189,0.6928343772888184,3.4811320754717,0.8044217,0.15888454,0.18162042,48.43092,0.1983318,0.0023384427,10014002683.jpg,hyperiqa,4,0.05942604687067243
10017119924.jpg,14.40277099609375,2.593465633492557,39.22712707519531,0.5737082362174988,0.7099972367286682,3.42342342342342,0.7219655,0.20723386,0.1867092,2846.188,0.23417547,0.03279944,10017119924.jpg,niqe,1,0.1065103980987816
10020766793.jpg,9.07318115234375,2.3464465043116856,29.454126358032227,0.6531348824501038,0.753913402557373,4.08256880733945,0.28880265,0.2331837,0.12898575,2889.6484,0.33793998,0.021230508,10020766793.jpg,maniqa,3,0.14340626685615554
10020891105.jpg,5.08465576171875,2.7970477098845783,14.487208366394045,0.4053225517272949,0.5437920093536377,3.13725490196078,0.24450432,0.15661216,0.3605699,860.87177,0.6831574,0.011053079,10020891105.jpg,piqe,2,0.08137456295597856
10022757465.jpg,34.33538818359375,3.4459602204383994,28.96498107910156,0.5243539810180664,0.6712632775306702,3.67619047619048,0.7767885,0.34075892,0.13010097,923.8136,0.17485411,0.0003740806,10022757465.jpg,hyperiqa,4,0.21585167216167633
10022844623.jpg,9.61419677734375,2.63946682733008,30.307239532470703,0.4810909032821655,0.6503726840019226,3.2843137254902,0.5178482,0.34674582,0.11777984,2950.6345,0.32009053,0.010658276,10022844623.jpg,maniqa,3,0.01349066094088025
10027545463.jpg,27.41302490234375,2.937075219616576,38.95815658569336,0.5429847836494446,0.7090731859207153,3.74509803921569,0.3256289,0.19077538,0.3499026,881.16315,0.6409934,0.006893268,10027545463.jpg,hyperiqa,4,0.1441504989354021
10027582235.jpg,8.27276611328125,2.5886206646672467,22.75336456298828,0.6284705996513367,0.7611108422279358,3.82242990654206,0.6329199,0.10503434,0.2566041,313.65424,0.29337785,0.0093382625,10027582235.jpg,maniqa,3,0.024787312963753028
10029841663.jpg,21.23260498046875,3.201845080274483,46.8075065612793,0.5445353984832764,0.6991503834724426,3.46268656716418,0.4354149,0.27287892,0.23823069,1657.061,0.47180226,0.013051144,10029841663.jpg,maniqa,3,0.07163085810587866
10031298826.jpg,-2.33306884765625,2.7938865935745514,21.270523071289062,0.381444364786148,0.5201631784439087,2.87704918032787,0.1903307,0.28322846,0.0052993814,997.94244,0.007933553,0.0084771495,10031298826.jpg,hyperiqa,4,0.02137358410382717
10031913154.jpg,10.99017333984375,3.763163410389156,34.4614372253418,0.5243387222290039,0.7094806432723999,3.48507462686567,0.6194562,0.2114405,0.18678331,3197.4282,0.37921727,0.025814379,10031913154.jpg,maniqa,3,0.026047851481047157
10039534103.jpg,60.11346435546875,11.453000846497002,39.61166763305664,0.5566428303718567,0.6052632331848145,3.69158878504673,0.7096843,0.10994807,0.20130649,51.55901,0.3158068,0.0012810093,10039534103.jpg,maniqa,3,0.11213638787048907
10041870415.jpg,11.90447998046875,2.253304347516166,28.10397148132324,0.4680230617523193,0.6797311902046204,3.45192307692308,0.3525379,0.24821086,0.112014525,1786.688,0.23711853,0.020482114,10041870415.jpg,hyperiqa,4,0.0399064804682876
10043785683.jpg,8.46893310546875,2.9007626710764884,29.92563247680664,0.4981208145618438,0.6712881326675415,3.56603773584906,0.41655672,0.26189482,0.15800995,4050.1628,0.30590644,0.043752845,10043785683.jpg,hyperiqa,4,0.10560649971624869
10047832035.jpg,18.76434326171875,2.966875392352053,28.496065139770508,0.5841182470321655,0.7070310711860657,3.65346534653465,0.374068,0.2694004,0.07892343,387.82834,0.20743713,0.008225531,10047832035.jpg,maniqa,3,0.028411922446433646
10048365153.jpg,11.21014404296875,2.7095423114322466,28.900390625,0.4171422719955444,0.6167457699775696,3.07920792079208,0.44490907,0.3108674,0.23983218,2988.103,0.4107722,0.014357139,10048365153.jpg,maniqa,3,0.019795928645939487
10050349236.jpg,32.05340576171875,5.167428274200016,37.24720764160156,0.2418207675218582,0.3825938403606415,2.20588235294118,0.40975335,0.3760175,0.13979258,68.72591,0.5275228,0.002761385,10050349236.jpg,hyperiqa,4,0.18094301285904457
10058760545.jpg,5.98907470703125,6.4950909195493445,3.5744519233703613,0.1367129683494568,0.2556572258472442,1.62,0.17206411,0.11222556,0.32772285,53.487045,0.8849803,0.0061664255,10058760545.jpg,hyperiqa,4,0.2947692907987354
10059344614.jpg,11.93255615234375,2.733323720213972,30.417510986328125,0.5765806436538696,0.6829299926757812,3.5,0.67385906,0.3398271,0.1388596,1499.346,0.18255708,0.012676202,10059344614.jpg,hyperiqa,4,0.0037253696834302907
10061596254.jpg,11.80242919921875,4.588520900667773,21.954774856567383,0.4906942248344421,0.567805826663971,3.1588785046729,0.62732565,0.27522838,0.43626994,158.47409,0.43505916,0.0037641576,10061596254.jpg,niqe,1,0.0031307837135634564
10067457634.jpg,17.14617919921875,2.515981600677866,42.2676887512207,0.5741633772850037,0.728114902973175,3.92660550458716,0.34991154,0.2790109,0.18175553,2068.0154,0.58016247,0.015078166,10067457634.jpg,hyperiqa,4,0.2548449979493652
10068507976.jpg,15.88079833984375,3.5928413416692546,36.98665618896485,0.4069260060787201,0.5564743280410767,3.1,0.17131382,0.16703348,0.22928016,1027.515,0.69139063,0.011001736,10068507976.jpg,hyperiqa,4,0.06654213302252066
10068778516.jpg,21.53778076171875,5.036326833906824,52.393096923828125,0.657085657119751,0.7638572454452515,3.68421052631579,0.487082,0.27397227,0.1260368,4832.5137,0.20469046,0.025980933,10068778516.jpg,hyperiqa,4,0.12046978414225462
10069534975.jpg,7.81463623046875,3.1150459474523826,32.10123825073242,0.5367852449417114,0.7746677994728088,3.67592592592593,0.4673508,0.20206533,0.4791489,2614.8757,0.557846,0.022506949,10069534975.jpg,hyperiqa,4,0.16895702994221162
10071864114.jpg,23.85272216796875,4.332791826589807,31.8084659576416,0.5488938689231873,0.7098498344421387,3.74107142857143,0.6337365,0.11100442,0.13121471,210.12744,0.19414325,0.004633673,10071864114.jpg,hyperiqa,4,0.13723566211554905
10075168775.jpg,29.51995849609375,4.902896803757288,24.540437698364254,0.5792409181594849,0.7397469878196716,3.72277227722772,0.7091367,0.36599773,0.5233665,402.9943,0.3721002,0.00041518363,10075168775.jpg,hyperiqa,4,0.0077539892336879745
10077468576.jpg,9.29583740234375,3.256439353783824,41.20845031738281,0.549573540687561,0.7419493794441223,3.66037735849057,0.5037819,0.33514604,0.40662488,1196.6531,0.5357024,0.009541099,10077468576.jpg,hyperiqa,4,0.06283125622550179
10077880165.jpg,36.87762451171875,5.1495127264393314,15.638507843017578,0.2426636964082718,0.3062579035758972,2.19444444444444,0.6028276,0.13522549,0.10377409,217.84032,0.24777265,0.01418283,10077880165.jpg,hyperiqa,4,0.0914996818752476
10079711433.jpg,26.75360107421875,4.358355496660411,54.343223571777344,0.478918969631195,0.6255070567131042,3.12878787878788,0.20073545,0.2181332,0.29767781,210.22577,0.7137612,0.002351367,10079711433.jpg,brisque,0,0.002722687114015798
10082923485.jpg,12.11859130859375,3.7758001399844416,28.16439819335937,0.3741490244865417,0.5711334347724915,2.95192307692308,0.14021981,0.17597604,0.29711094,288.98434,0.62758845,0.0047980407,10082923485.jpg,maniqa,3,0.05278446366785605
10086300493.jpg,11.64056396484375,3.4682261609739395,34.66090774536133,0.5203412175178528,0.6585197448730469,3.51456310679612,0.5829513,0.3301855,0.08781154,10865.417,0.15833052,0.077574074,10086300493.jpg,maniqa,3,0.07043852243706139
100882570.jpg,7.67156982421875,2.7831528899930005,24.472543716430664,0.5746906399726868,0.6706729531288147,3.41414141414141,0.65282947,0.37109342,0.058386166,1069.1158,0.11621112,0.014200945,100882570.jpg,hyperiqa,4,0.04400207200227646
10089027076.jpg,14.35247802734375,6.613081198038999,4.728200435638428,0.2054521590471267,0.2434735745191574,1.87037037037037,0.1094941,0.08805598,0.02658728,32.817287,0.23076738,0.0059021944,10089027076.jpg,hyperiqa,4,0.0009100445788612355
10089177336.jpg,16.37786865234375,4.091448414893032,40.72984313964844,0.6237525939941406,0.7279577255249023,3.73267326732673,0.7565548,0.21577764,0.07854467,4305.5737,0.09750484,0.004979508,10089177336.jpg,hyperiqa,4,0.0614972773754312
10091520555.jpg,21.90789794921875,5.644367459668648,13.05975341796875,0.2529435157775879,0.3591654002666473,2.30188679245283,0.19869566,0.07847356,0.2832377,100.037056,0.83674735,0.003937407,10091520555.jpg,hyperiqa,4,0.002187883558474546
10093057603.jpg,37.76800537109375,4.253624813463215,52.39223861694336,0.4760985076427459,0.6009372472763062,3.38235294117647,0.35712782,0.18882543,0.34244043,160.56604,0.5767408,0.0033841757,10093057603.jpg,maniqa,3,0.10315957308547974
10094235786.jpg,13.67852783203125,3.020758062798466,47.184547424316406,0.5343693494796753,0.673916757106781,3.27,0.47800323,0.22451156,0.32216305,4286.5913,0.5960534,0.044398602,10094235786.jpg,niqe,1,0.012395327717403148
10110458216.jpg,16.41717529296875,3.4323451940826275,23.52850151062012,0.5775862336158752,0.6934711933135986,3.37,0.79200053,0.27743605,0.0,480.37817,0.0,0.004268893,10110458216.jpg,niqe,1,0.12085365860274733
10111411235.jpg,42.34295654296875,5.836020911207815,32.73762893676758,0.139604315161705,0.351105272769928,1.69911504424779,0.8267253,0.15610646,0.17692609,554.305,0.26277635,0.018152535,10111411235.jpg,maniqa,3,0.3256706126133422
10113730664.jpg,21.62371826171875,2.799095669830657,39.23376083374024,0.4821543991565704,0.6629252433776855,3.47286821705426,0.4882292,0.20195946,0.39775214,527.03394,0.55802566,0.007685614,10113730664.jpg,hyperiqa,4,0.043537169854128255
10115071674.jpg,7.65667724609375,2.507044238097317,18.35615539550781,0.4866896569728851,0.6782568097114563,3.73394495412844,0.26585123,0.2550531,0.081803545,2029.3085,0.38218448,0.017726416,10115071674.jpg,hyperiqa,4,0.24759837161654108
10118773964.jpg,20.30889892578125,4.408073189627079,43.89259719848633,0.4204887747764587,0.5717484354972839,3.03960396039604,0.64307433,0.24140763,0.13726431,212.51636,0.25264138,0.0020188976,10118773964.jpg,maniqa,3,0.03228337007044191
10121813934.jpg,11.91217041015625,2.134776336768088,21.21055603027344,0.4276051819324493,0.6712300181388855,3.35238095238095,0.33331522,0.22095543,0.13416795,2105.91,0.54883695,0.02624094,10121813934.jpg,niqe,1,0.0015860840941543941
10125013364.jpg,26.22406005859375,4.674239711933802,34.67549133300781,0.1932490915060043,0.302546739578247,2.19083969465649,0.09382922,0.17172405,0.48418984,653.56445,0.47313684,0.002956125,10125013364.jpg,maniqa,3,0.033926890901596174
10126177964.jpg,70.37188720703125,5.232414333729653,37.559757232666016,0.5576210021972656,0.6787471771240234,3.59633027522936,0.069071166,0.15598553,0.026036806,233.66866,0.16704798,0.0,10126177964.jpg,maniqa,3,0.013231377435519498
10126857344.jpg,0.09478759765625,3.263067745828855,30.19412422180176,0.6332935690879822,0.7509700059890747,3.51754385964912,0.53187,0.22769254,0.20514864,2924.8274,0.30888975,0.015554683,10126857344.jpg,brisque,0,0.19668268198640737
10130566006.jpg,27.90130615234375,2.796140343103752,37.50818634033203,0.5320846438407898,0.7412118315696716,3.68867924528302,0.5442907,0.33099803,0.12721372,4102.233,0.26488936,0.032754306,10130566006.jpg,hyperiqa,4,0.03178655203498604
10131980434.jpg,50.21868896484375,9.940453089030797,40.20386505126953,0.4715053141117096,0.6247978210449219,3.19259259259259,0.6110789,0.06213059,0.12565869,19.430971,0.3245649,0.0016567579,10131980434.jpg,piqe,2,0.010501904116759775
10133867305.jpg,8.85333251953125,3.476804561962731,21.688594818115234,0.4798875749111175,0.5662935972213745,3.19047619047619,0.30375412,0.21158583,0.263777,1010.568,0.84108317,0.016026441,10133867305.jpg,niqe,1,0.05507861755646015
10134737015.jpg,34.81866455078125,3.253844857031488,51.68253326416016,0.3713076710700989,0.5880456566810608,3.00934579439252,0.8145256,0.25471035,0.09380086,1213.5681,0.08496445,0.0050627086,10134737015.jpg,brisque,0,0.0648807252963084
10140071304.jpg,50.76824951171875,5.587010289930239,38.15661239624024,0.3518800139427185,0.5457492470741272,3.27184466019417,0.73279434,0.3825502,0.09059084,653.04205,0.15239528,0.0,10140071304.jpg,piqe,2,0.0804695941601068
10147970884.jpg,41.58624267578125,3.9780272435947217,48.57836532592773,0.6157664656639099,0.7578876614570618,3.81081081081081,0.35558763,0.26210943,0.1574748,3641.6138,0.35187265,0.029770276,10147970884.jpg,maniqa,3,0.010952993025498348
10153847086.jpg,14.52130126953125,3.792763807692857,28.13739776611328,0.4657487869262695,0.6719051003456116,3.1651376146789,0.5482326,0.36661792,0.071203746,1648.3878,0.20425902,0.010309276,10153847086.jpg,piqe,2,0.031117214171894947
